Feature,Permutation_Importance_Mean,Permutation_Importance_Std,Best_Model_Gini_Importance,Relative_Percentage
Bilirubin,0.0720231731292144,0.0349353853712786,0.07365063684605222,7.365063684605223
Platelets,0.0229182782697174,0.018133242042337,0.07680655481765455,7.680655481765457
Alk_Phos,0.0146319855523463,0.0165124799738665,0.04077099157164778,4.0770991571647786
Age,0.0097656259270823,0.0318507944365475,0.1510863242673882,15.108632426738822
Copper,0.0088191962088243,0.0129203844075812,0.039951952557336724,3.995195255733673
Prothrombin,0.0057528369894605,0.0196205404721432,0.09414181693533687,9.414181693533688
Spiders,0.0050592333388876,0.0041308467233173,0.0,0.0
Stage,0.0007179323549601,0.0103245527609561,0.020545345740972373,2.0545345740972376
Sex,0.0,0.0,0.0,0.0
Ascites,0.0,0.0,0.0,0.0
Edema,0.0,0.0,0.0,0.0
SGOT,-0.0030133225802143,0.0161100523810015,0.04659377654564009,4.65937765456401
Hepatomegaly,-0.0103041957063799,0.0068829925446967,0.0,0.0
Albumin,-0.0232242806764511,0.0231051506053246,0.04136834525440685,4.136834525440686
Triglycerides,-0.0267587134072642,0.0190610806935836,0.027950081237337124,2.7950081237337128
